Date,Close
1/2/2014 16:00:00,20.18
1/3/2014 16:00:00,20.02
1/6/2014 16:00:00,20.01
1/7/2014 16:00:00,20.05
1/8/2014 16:00:00,19.96
1/9/2014 16:00:00,20.03
1/10/2014 16:00:00,20.04
1/13/2014 16:00:00,19.98
1/14/2014 16:00:00,20.12
1/15/2014 16:00:00,19.99
1/16/2014 16:00:00,20.3
1/17/2014 16:00:00,20.24
1/21/2014 16:00:00,20.85
1/22/2014 16:00:00,21.26
1/23/2014 16:00:00,21.27
1/24/2014 16:00:00,21.37
1/27/2014 16:00:00,21.35
1/28/2014 16:00:00,21.91
1/29/2014 16:00:00,21.64
1/30/2014 16:00:00,21.53
1/31/2014 16:00:00,21.37
2/3/2014 16:00:00,21.05
2/4/2014 16:00:00,21.02
2/5/2014 16:00:00,21.04
2/6/2014 16:00:00,21.16
2/7/2014 16:00:00,21.32
2/10/2014 16:00:00,21.37
2/11/2014 16:00:00,21.77
2/12/2014 16:00:00,22.04
2/13/2014 16:00:00,22.1
2/14/2014 16:00:00,22
2/18/2014 16:00:00,21.99
2/19/2014 16:00:00,21.93
2/20/2014 16:00:00,21.95
2/21/2014 16:00:00,22.31
2/24/2014 16:00:00,22.39
2/25/2014 16:00:00,22.47
2/26/2014 16:00:00,22.52
2/27/2014 16:00:00,22.74
2/28/2014 16:00:00,22.89
3/3/2014 16:00:00,22.95
3/4/2014 16:00:00,23.98
3/5/2014 16:00:00,24.66
3/6/2014 16:00:00,25.22
3/7/2014 16:00:00,25.47
3/10/2014 16:00:00,24.81
3/11/2014 16:00:00,23.98
3/12/2014 16:00:00,23.29
3/13/2014 16:00:00,23.87
3/14/2014 16:00:00,24.11
3/17/2014 16:00:00,25.06
3/18/2014 16:00:00,24.4
3/19/2014 16:00:00,23.58
3/20/2014 16:00:00,23.51
3/21/2014 16:00:00,23.06
3/24/2014 16:00:00,23.18
3/25/2014 16:00:00,24.01
3/26/2014 16:00:00,23.86
3/27/2014 16:00:00,23.42
3/28/2014 16:00:00,23.9
3/31/2014 16:00:00,24.25
4/1/2014 16:00:00,24.72
4/2/2014 16:00:00,24.8
4/3/2014 16:00:00,23.48
4/4/2014 16:00:00,23.02
4/7/2014 16:00:00,23.02
4/8/2014 16:00:00,23.97
4/9/2014 16:00:00,23.64
4/10/2014 16:00:00,22.88
4/11/2014 16:00:00,23.6
4/14/2014 16:00:00,23.59
4/15/2014 16:00:00,22.41
4/16/2014 16:00:00,22.51
4/17/2014 16:00:00,22.3
4/21/2014 16:00:00,23.39
4/22/2014 16:00:00,22.79
4/23/2014 16:00:00,22.87
4/24/2014 16:00:00,23.38
4/25/2014 16:00:00,22.09
4/28/2014 16:00:00,22.59
4/29/2014 16:00:00,22.48
4/30/2014 16:00:00,23.14
5/1/2014 16:00:00,24
5/2/2014 16:00:00,23.74
5/5/2014 16:00:00,22.89
5/6/2014 16:00:00,22.2
5/7/2014 16:00:00,22.02
5/8/2014 16:00:00,21.31
5/9/2014 16:00:00,21.14
5/12/2014 16:00:00,21.61
5/13/2014 16:00:00,21.66
5/14/2014 16:00:00,21.43
5/15/2014 16:00:00,21.46
5/16/2014 16:00:00,21.27
5/19/2014 16:00:00,21.96
5/20/2014 16:00:00,21.96
5/21/2014 16:00:00,22.08
5/22/2014 16:00:00,22.39
5/23/2014 16:00:00,22.57
5/27/2014 16:00:00,23.2
5/28/2014 16:00:00,23
5/29/2014 16:00:00,22.64
5/30/2014 16:00:00,22.67
6/2/2014 16:00:00,22.61
6/3/2014 16:00:00,22.56
6/4/2014 16:00:00,22.55
6/5/2014 16:00:00,22.95
6/6/2014 16:00:00,24
6/9/2014 16:00:00,24.18
6/10/2014 16:00:00,24.19
6/11/2014 16:00:00,24.12
6/12/2014 16:00:00,24.05
6/13/2014 16:00:00,24.22
6/16/2014 16:00:00,24.28
6/17/2014 16:00:00,23.91
6/18/2014 16:00:00,24.4
6/19/2014 16:00:00,24.65
6/20/2014 16:00:00,24.61
6/23/2014 16:00:00,24.17
6/24/2014 16:00:00,24.24
6/25/2014 16:00:00,24.44
6/26/2014 16:00:00,24.54
6/27/2014 16:00:00,24.61
6/30/2014 16:00:00,24.87
7/1/2014 16:00:00,24.47
7/2/2014 16:00:00,24.75
7/3/2014 16:00:00,24.63
7/7/2014 16:00:00,24.07
7/8/2014 16:00:00,23.59
7/9/2014 16:00:00,23.65
7/10/2014 16:00:00,23.34
7/11/2014 16:00:00,23.28
7/14/2014 16:00:00,23.06
7/15/2014 16:00:00,22.37
7/16/2014 16:00:00,22.29
7/17/2014 16:00:00,22.46
7/18/2014 16:00:00,22.53
7/21/2014 16:00:00,22.65
7/22/2014 16:00:00,22.84
7/23/2014 16:00:00,22.6
7/24/2014 16:00:00,22.6
7/25/2014 16:00:00,23.01
7/28/2014 16:00:00,23.08
7/29/2014 16:00:00,22.58
7/30/2014 16:00:00,22.51
7/31/2014 16:00:00,22.64
8/1/2014 16:00:00,23
8/4/2014 16:00:00,23.36
8/5/2014 16:00:00,23.16
8/6/2014 16:00:00,23.64
8/7/2014 16:00:00,23.55
8/8/2014 16:00:00,23.36
8/11/2014 16:00:00,23.44
8/12/2014 16:00:00,23.24
8/13/2014 16:00:00,23.09
8/14/2014 16:00:00,22.74
8/15/2014 16:00:00,23.1
8/18/2014 16:00:00,23.43
8/19/2014 16:00:00,23.56
8/20/2014 16:00:00,23.57
8/21/2014 16:00:00,23.35
8/22/2014 16:00:00,23.49
8/25/2014 16:00:00,23.57
8/26/2014 16:00:00,23.61
8/27/2014 16:00:00,23.67
8/28/2014 16:00:00,23.64
8/29/2014 16:00:00,23.67
9/2/2014 16:00:00,23.94
9/3/2014 16:00:00,24.01
9/4/2014 16:00:00,24.22
9/5/2014 16:00:00,24.45
9/8/2014 16:00:00,24.8
9/9/2014 16:00:00,24.59
9/10/2014 16:00:00,24.53
9/11/2014 16:00:00,24.61
9/12/2014 16:00:00,24.61
9/15/2014 16:00:00,24.6
9/16/2014 16:00:00,24.7
9/17/2014 16:00:00,24.79
9/18/2014 16:00:00,24.69
